provincia;canton;num_vivienda;num_hogar;num_persona;rol_hogar;sexo_nacim;anios;cultura;tip_colegio;nivel_academic;ocupacion;estado_conyugal;hijos;area;discapacidad;idiomas;tipo_vivienda
1;1;70;1;2;3;2;13;6;2;6;99;6;99;1;8;2;1
1;1;70;1;3;3;2;6;6;2;6;99;0;99;1;8;2;1
1;1;70;1;4;3;2;6;6;2;6;99;0;99;1;8;2;1
1;1;70;1;5;7;1;53;6;0;11;7;5;99;1;8;2;1
1;1;70;1;6;7;2;52;6;0;11;6;5;99;1;8;2;1
1;1;71;1;1;1;1;43;6;0;5;1;5;99;1;8;2;4
1;1;71;1;2;2;2;43;6;0;8;99;5;3;1;8;2;4
1;1;71;1;3;3;1;21;6;0;11;1;6;99;1;8;2;4
1;1;71;1;4;3;1;15;6;1;8;99;6;99;1;8;2;4
1;1;71;1;5;3;1;12;6;1;6;99;6;99;1;8;2;4
1;1;72;1;1;1;2;39;6;0;5;3;3;4;2;8;2;2
1;1;72;1;2;3;1;19;6;1;8;6;6;99;2;8;2;2
1;1;72;1;3;3;1;17;6;1;8;99;6;99;2;8;2;2
1;1;72;1;4;3;1;5;6;1;3;99;0;99;2;8;2;2
1;1;72;1;5;3;1;1;6;0;1;99;0;99;2;8;2;2
1;1;73;1;1;1;1;77;6;0;5;99;4;99;1;1;2;4
1;1;73;1;2;3;1;34;6;0;11;1;3;99;1;8;2;4
1;1;74;1;1;1;1;27;6;0;8;1;1;99;1;8;2;4
1;1;74;1;2;2;2;28;6;0;8;6;1;3;1;8;2;4
1;1;74;1;3;3;2;10;6;1;6;99;0;99;1;8;2;4
1;1;74;1;4;3;1;3;6;0;1;99;0;99;1;8;2;4
1;1;74;1;5;3;1;1;6;0;1;99;0;99;1;8;2;4
1;1;75;1;1;1;1;27;6;0;8;6;1;99;1;8;2;4
1;1;75;1;2;2;2;23;6;0;8;6;1;1;1;8;2;4
1;1;75;1;3;3;1;7;6;1;6;99;0;99;1;8;2;4
1;1;77;1;1;1;2;56;6;0;5;99;3;5;1;8;2;1
1;1;77;1;2;3;1;29;6;0;11;1;6;99;1;8;2;1
1;1;77;1;3;3;2;21;6;1;11;99;6;99;1;8;2;1
1;1;78;1;1;1;1;60;6;0;1;6;5;99;2;8;2;3
1;1;78;1;2;2;2;62;6;0;5;6;5;4;2;8;2;3
1;1;78;1;3;3;1;40;6;0;7;1;1;99;2;8;2;3
1;1;78;1;4;3;1;37;6;0;7;1;6;99;2;8;2;3
1;1;78;1;5;3;1;36;6;0;7;1;2;99;2;8;2;3
1;1;78;1;6;5;2;36;6;0;5;4;1;2;2;8;2;3
1;1;78;1;7;6;2;6;6;1;6;99;0;99;2;8;2;3
1;1;78;1;8;6;1;4;6;1;3;99;0;99;2;8;2;3
1;1;78;1;9;6;2;2;6;0;1;99;0;99;2;8;2;3
1;1;79;1;1;1;1;47;6;0;11;1;5;99;2;8;2;1
1;1;79;1;2;2;2;44;6;0;11;8;5;2;2;8;2;1
1;1;79;1;3;3;2;19;6;1;11;99;6;99;2;8;7;1
1;1;79;1;4;3;1;14;6;1;6;99;6;99;2;8;2;1
1;1;80;1;1;1;1;60;6;0;11;99;5;99;1;8;2;1
1;1;80;1;2;2;2;56;6;0;11;2;5;2;1;8;2;1
1;1;80;1;3;3;1;28;6;0;11;6;6;99;1;8;7;1
1;1;81;1;1;1;1;44;6;0;5;1;5;99;2;8;2;1
1;1;81;1;2;2;2;36;6;0;5;99;5;4;2;8;2;1
1;1;81;1;3;3;2;17;6;1;8;99;6;99;2;8;2;1
1;1;81;1;4;3;2;16;6;1;8;99;6;99;2;8;2;1
1;1;81;1;5;3;1;14;6;1;6;99;6;99;2;8;2;1
1;1;81;1;6;3;2;13;6;1;6;99;6;99;2;8;2;1
1;1;82;1;1;1;1;45;6;0;5;6;5;99;2;8;2;1
1;1;82;1;2;2;2;38;6;0;5;6;5;2;2;8;2;1
1;1;82;1;3;3;2;13;6;1;6;99;6;99;2;8;2;1
1;1;82;1;4;3;1;8;6;1;6;99;0;99;2;8;2;1
1;1;83;1;1;1;2;54;6;0;6;6;3;5;2;8;2;1
1;1;84;1;1;1;2;67;6;0;5;6;6;2;1;8;2;4
1;1;84;1;2;3;1;37;6;0;8;1;6;99;1;8;2;4
1;1;84;1;3;3;2;27;6;1;11;99;6;99;1;8;2;4
1;1;86;1;1;1;1;27;6;0;8;1;1;99;1;8;2;1
1;1;86;1;2;2;2;27;6;0;11;6;1;1;1;8;2;1
1;1;86;1;3;3;2;6;6;2;6;99;0;99;1;8;2;1
1;1;87;1;1;1;2;58;7;0;11;1;5;1;1;8;2;4
1;1;87;1;2;2;1;58;7;0;8;99;5;99;1;8;2;4
1;1;87;1;3;3;2;30;7;0;11;6;6;99;1;8;2;4
1;1;87;1;4;9;1;30;7;0;11;1;6;99;1;8;2;4
1;1;88;1;1;1;2;40;6;0;11;6;3;2;1;8;7;4
1;1;88;1;2;2;1;30;6;0;11;1;6;99;1;8;2;4
1;1;89;1;1;1;1;20;1;2;11;99;6;99;1;8;2;4
1;1;90;1;1;1;1;41;6;0;5;6;6;99;2;8;2;1
1;1;90;1;2;7;2;66;6;0;5;99;6;5;2;8;2;1
1;1;90;1;3;9;1;37;6;0;5;1;5;99;2;8;2;1
1;1;90;1;4;9;2;37;6;0;5;4;5;4;2;8;2;1
1;1;90;1;5;9;2;11;6;1;6;99;0;99;2;8;2;1
